,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,260000000.00,260000000.00,260000000.00,260000000.00,264900000.00,262450000.00,260000000.00,159000000.00,0,0,0,0,0,0,0,0,744681470.59,702062351.89,639453076.16,575629948.95,568215560.91,509179531.43,484733048.45,434337961.20,407422729.43,154422766.05,123934484.76,103596052.98,84638560.01,67700293.75,55044113.54,45105986.59,52952439.01,81833324.82,86242045.82,86242045.82,51669656.25,51669656.25,51669656.25,51669656.25,51669656.25,51669656.25,2669656.25,2669656.25,6563271.22,6563271.22,6563271.22,6563271.22,40599446.18,40599446.18,40599446.18,40599446.18,65424577.43,70378349.36,71198989.20,89836889.30,88796589.27,88994139.27,13891689.26,14089239.30,20004972.30,20370705.31,52346520.00,53080141.31,7851631.41,142514090.47,142570000.00,7570000.00,7570000.00,1570000.00,1570000.00,1570000.00,0,0,0,0,0,0,0,0,0.0
28,投资性房地产,14879700.00,14879700.00,1861842.81,1889216.86,1916494.69,1943499.74,1970368.40,1997237.06,2024105.72,2050974.38,2077843.04,2104711.70,2131580.36,2158449.02,2185317.68,2212186.34,2239055.00,2265923.66,2292792.32,2319660.98,2346529.64,2373398.30,2400266.96,2427135.62,2454004.28,2480872.94,2507741.60,2534610.26,2561478.92,2588347.58,2615216.24,2642084.90,2668953.56,2695822.22,2722690.88,2749559.54,2776428.20,2803296.86,2830165.52,2857034.18,2883902.84,2910771.50,2937640.16,2964508.82,2991377.48,3018246.14,3045114.80,3071983.46,3098852.12,3125720.78,3152589.44,3179458.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),1903903067.37,3003872683.08,3287051256.33,3104385535.84,2434554239.15,2369298267.87,1619496599.77,1307076662.27,0,1130142241.94,0,169991117.29,0,149014329.67,0,0,57633385.64,19181062.81,15620241.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,2938456858.92,0,3069616737.19,2434554239.15,2343424338.62,1614323423.37,1301945082.01,1184654343.65,1075286548.81,215041712.79,168763220.81,126146460.67,147839376.40,74181362.99,161255296.07,55089944.11,16593013.33,12994353.38,10454865.85,23341859.31,2608488.44,2608488.44,2568488.44,931440.00,804640.00,804640.00,554500.00,554500.00,554500.00,554500.00,554500.00,6287330.84,6287330.84,5997502.81,5851176.98,20992937.00,10933058.75,1516732.07,704000.00,22109325.98,8990092.06,123281679.10,3746382.54,97523469.97,91469952.80,86585652.04,69549462.19,79965237.59,59716583.31,51222349.44,44987737.27,38429851.72,33474668.53,23766824.67,190451710.61,150720500.24,70608929.68,60550313.77,49956632.73,175162259.58,133600596.73,122219484.42,103807230.96,387622818.41,559974125.37,478133708.53,399769683.55,247198745.50,149935386.14,132617514.51,111404105.65,57170921.12,143021803.91,125069060.45,115413333.41,93726667.72,71227405.13,21648594.09,34507983.73,0.0
31,工程物资,0,65415824.16,0,34768798.65,0,25873929.25,5173176.40,5131580.26,55054474.48,54855693.13,1433419.73,1227896.48,1959766.96,1174953.27,1176245.58,1175209.68,2543441.53,2588049.48,2625887.92,2513976.64,2525783.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3060.00,3060.00,3060.00,3060.00,7801379.30,7411567.09,7407702.87,39115174.06,59311120.14,27625742.48,7890825.28,7211364.46,15591406.26,28294760.26,23674964.74,31014311.63,50488827.27,111486407.31,98515271.86,79178528.82,48426146.19,43225713.96,32507920.70,28408405.40,21948404.36,13905700.94,9225221.81,22051219.56,2805862.53,4046016.15,0,0,0.0
