,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2827.68,10948.18,0,0,0,0,0.0
20,其他流动资产,43566311.73,44483569.67,11901878.04,38097580.91,1616543523.27,146102740.50,897088661.53,740018713.65,40072263.88,139425470.15,40580034.18,192481123.17,55492281.70,749582693.46,453279239.79,51248878.21,22040861.10,15497325.67,15726323.17,19189032.48,9658645.78,2480984.87,8198381.62,908431.60,8396599.53,9994506.05,7415444.10,8758820.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000.00,0,418439.40,192896.37,0,0,3602653.25,3336054.00,3387009.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1233.64,0,-4599.71,-2696.75,0,0,0,2827.65,0,0,0,0,0,0.0
21,流动资产合计,14963816285.51,14390643445.35,14967100808.86,13063889035.73,14330915431.96,13490982204.64,13844588083.26,12792721500.84,12806462553.80,12103164560.27,12437558261.69,11708968515.42,11630005604.03,10526755242.90,10976866774.97,8957361915.89,9087444943.74,8320553582.94,8020211284.35,6967618154.07,7372151014.41,6844981013.74,7183268302.16,6027188500.01,6607632347.80,6203171280.60,6231316697.55,5159903032.94,5916431869.42,5378297758.24,5778832891.08,4709304924.82,4523813149.91,4337983795.86,4423780753.33,3393714991.54,3564188118.96,3108606287.20,3441193352.58,2886705275.69,3329004806.67,2781134898.44,2864841573.93,2488842993.55,2676874242.98,2530466605.26,2638222359.12,2091458736.36,2259607937.41,1910185675.78,2199915173.66,1736806392.64,1833882785.69,1608132973.51,1913454198.38,1608972438.77,1661078867.14,1511439224.86,1505811699.55,1339443280.12,1424103865.70,1204018471.92,1279993371.09,1065928277.57,1071445427.70,1028818920.46,1057084236.33,1034899537.55,1185229690.75,1079523319.20,1060660200.00,1029724382.40,1107771223.57,956497152.80,825874137.24,838063786.12,544387145.14,512970127.51,466570405.04,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,91111431.20,91111431.20,91111431.20,91111431.20,91111431.20,91111431.20,91111431.20,91111431.20,91111431.20,91111431.20,91411431.20,91411431.20,91411431.20,91411431.20,81331431.20,81331431.20,81331431.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16855000.00,16855000.00,16855000.00,16855000.00,16855000.00,16855000.00,16855000.00,16855000.00,16855000.00,16855000.00,16855000.00,16855000.00,16855000.00,16855000.00,16855000.00,16855000.00,0,0,25000000.00,25000000.00,25000000.00,25000000.00,25000000.00,25000000.00,25000000.00,25000000.00,0,0,0,0,0,0,628400.00,628400.00,620375.00,612350.00,0,596300.00,564200.00,564200.00,531000.00,0,0,0,51991.80,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,220336557.13,189629699.61,90118218.66,88918218.64,85214559.41,81129759.36,78738965.70,74905765.70,75816619.61,69882684.74,65899086.62,64557786.62,62047390.26,57519123.15,51166240.08,53078598.50,49137968.60,46353763.24,45907827.14,46750268.60,126291943.83,126199549.80,72707733.77,72227433.78,70170996.77,74347036.87,72573095.02,71268862.35,71853004.72,67074474.55,68844051.88,67557702.30,67747816.22,61556780.27,32397886.05,30741868.58,29908747.34,28597711.21,31364280.74,30121383.19,28705894.16,27344859.40,26264077.42,25455292.08,28497381.22,27113172.38,26294790.32,25417514.96,24800819.73,23799780.59,39275246.72,218353543.32,55673525.73,54055491.50,57340923.67,55700576.62,57605240.96,56756804.45,56606727.12,56220826.30,55964720.73,55964720.73,55905956.01,55905956.01,68787923.23,45426570.65,40164484.65,42654351.93,38150194.64,37460290.79,46716900.00,37474034.63,35646115.41,34787636.41,42830485.41,43273736.74,46000105.77,46409893.57,36472962.39,0.0
28,投资性房地产,22768100.38,23112876.08,23608498.18,23841968.85,21743337.95,24589653.92,24637741.76,25399477.24,17224285.42,16057729.13,13571003.88,13810831.89,11577318.67,11735534.12,11452586.90,12237290.19,14466343.11,14493776.73,14956144.90,14888201.92,13334783.65,13383753.10,13594790.25,13773437.65,17564195.50,18089110.83,18919552.68,19184672.84,11025078.48,11136636.09,11263821.71,11432468.49,11178934.73,11682882.81,11795298.06,11975854.96,13621766.41,13539806.41,12651782.92,12841317.36,11656652.14,11777933.17,11899214.20,12101669.16,10944811.09,7981060.84,8033415.35,8171426.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
