,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20021231,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,23104358.35,31908563.06,24729180.44,33434657.88,30345796.60,31841742.35,26542145.93,32006875.64,38983789.83,35916658.66,17131327.77,17131327.77,17642511.87,23004484.15,7684119.83,11013826.45,15030264.13,10192381.78,0,0,0,0,6983227.40,14175329.67,3744982.12,3959652.52,8303226.50,4829842.30,5368267.86,4578458.28,5581505.20,3599039.54,1504174.77,4706813.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,1469329192.00,1463948713.77,1578423241.06,1470612860.77,1405002624.09,1371879906.18,1501801138.44,1487934102.80,1500675998.67,1149049673.26,1281120298.34,1480208743.96,1417494587.49,1499138835.89,1319588636.57,1436102962.70,1396611716.20,1360497167.75,1329141568.38,1271488061.72,1317388772.13,1014852643.99,1087786113.29,1159407620.13,1070735655.28,1116968164.57,1006212603.07,1139868781.74,1237881012.80,1047297232.76,1158104574.56,1234825971.91,1162953388.94,1289311060.54,919722871.47,897845452.97,841388913.33,729728144.80,535854920.24,424120070.49,467574382.68,600965534.02,470161009.01,479711227.51,487006895.75,428180740.99,459092576.21,504110192.35,478207741.05,511019634.23,538470814.25,501507446.12,462901668.44,445050718.15,452976634.57,440818708.00,442105137.25,447775471.92,527155070.72,522944485.64,538408578.12,512288131.11,464298395.31,431048402.71,355075148.43,388966374.54,424972314.68,562567950.40,245016120.77,192517191.00,350540644.22,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,15588577.15,16666964.42,40536572.62,41451253.77,42414306.72,43912206.67,38237906.80,44150008.87,46995985.69,47488985.69,52544584.66,52544584.66,55664879.62,55664879.62,54945901.26,56681854.67,55932319.56,55932319.56,53327684.85,53327684.85,52818436.59,52818436.59,49559671.53,49559671.53,46083653.78,48329069.13,45859257.37,93102257.37,89584294.85,89584294.85,25000000.00,0,10000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662593.23,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
