,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20071231,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,0,0,0,0,0,0,0,0,0,0.00,0.00,158117651.01,158117651.01,160567000.00,160567000.00,246169316.54,246169316.54,86352000.00,253153171.89,253148230.37,253148230.37,158644987.30,158644987.30,158644987.30,157196468.83,154807450.20,108749225.94,114936879.56,111715385.18,0,0.00,0,0,0,0,0,0,0,0,0,0,150000.00,150000.00,150000.00,150000.00,150000.00,150000.00,3150000.00,150000.00,5000000.00,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),47458570.60,8361401.14,81059847.95,71056670.91,310826.85,45029924.89,9743013.05,233498268.28,232911910.99,0,403341569.73,0,542632422.12,0,898896409.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,47458570.60,0,81059847.95,0,310826.85,45029924.89,9743013.05,233498268.28,232911910.99,404764873.47,403341569.73,583862768.18,542632422.12,968656787.06,898896409.31,892383789.47,675730579.70,737958755.05,743032273.47,724845207.70,700248284.84,774782056.32,746848723.14,1104909956.27,1050119477.47,1213775695.49,811370222.57,658508152.32,651696314.69,310577203.28,257380649.44,502168155.89,437346268.13,434794848.97,274554486.64,220525226.15,96773444.24,32589389.97,28029223.43,26716546.75,21277114.11,173027674.78,171119134.35,170147730.50,165582808.64,185813450.44,67488870.70,63684781.91,24024656.51,419778924.71,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222.22,1222.22,5673.50,0,11181.42,350103.40,395280.20,3249929.23,4832128.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),1613446588.17,1682308243.35,1639269852.60,1686526569.14,1778721895.10,1802862405.40,1884066025.04,1682107927.23,1732338096.82,0,1735421695.85,0,1627647691.56,0,1328908494.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,1613446588.17,0,1639269852.60,0,1778721895.10,1802862405.40,1884066025.04,1682107927.23,1732338096.82,1699925418.86,1735421695.85,1593539551.43,1627647691.56,1302075325.19,1328908494.74,1355195723.18,1585433823.17,1405281780.99,1416736070.08,1443795464.21,1470722870.74,1363437886.11,1390476873.59,1053058575.05,1074079946.11,784091187.44,942455899.13,1055021335.34,1075519225.94,1293131144.19,1309183568.38,1036579456.52,1027997197.47,1181163222.11,1209147039.23,1237531205.08,1263875490.27,1266525794.99,1292846128.96,1320004853.91,1347305152.90,1218025869.86,1239661516.62,1263994161.74,964331882.36,964665487.25,979603277.46,1008168166.36,1075969350.25,676403930.26,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,65908739.70,66466597.22,68627725.45,69340873.47,70279984.73,82198097.78,84130146.50,82200661.11,75422438.41,100977484.15,102144528.39,103278239.37,104376467.31,102519777.92,101099031.49,101797285.16,102513859.33,144542209.03,145529910.85,146661239.83,147305314.51,153714691.67,154717247.24,155719802.45,156722358.02,157724913.59,158727469.16,159530557.75,160732580.30,161974484.20,162977039.77,163740247.01,164742802.58,178371229.89,179702868.53,180795158.84,181887449.15,183132357.32,184281285.93,185431014.54,186580743.15,187738468.76,188912188.37,190254679.21,181164721.30,182694467.67,183765712.80,185908203.06,190448844.69,172320394.83,0.0
40,开发支出,0,3523192.14,2030804.59,1015985.61,0,0,0,5757238.28,13654086.79,13866288.27,11507804.05,8690472.47,6342874.55,8600851.19,3787717.80,2229010.41,834805.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,0,28171348.19,28171348.19,28171348.19,28171348.19,58779709.02,58779709.02,58779709.02,58779709.02,491077752.79,491077752.79,491077752.79,491077752.79,491077752.79,491077752.79,491077752.79,491077752.79,500813382.69,500813382.69,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,425000.00,462500.00,500000.00,339138.22,714001.33,3691454.13,2988283.01,13088056.47,3455450.91,5358648.29,6532417.46,7706186.63,7817278.69,9786374.06,11252263.09,12938690.17,14325717.86,14008729.27,16947239.78,2705986.56,2404746.44,1377143.00,1414643.00,1452143.00,1325000.00,1362500.00,1400000.00,1437500.00,1475000.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464792.58,9824438.70,0.0
43,递延所得税资产,0,0,0,0,0,908007.98,888665.98,908007.98,908007.98,518673.01,518673.01,346594.46,346594.46,1266141.29,1673745.76,1266141.29,1266141.29,439620.40,782530.38,439620.40,439620.40,508453.84,637833.77,508453.84,508453.84,3168313.65,3168313.65,2984450.10,2984450.10,2576655.45,2576655.45,4429579.47,4429579.47,2144642.91,2144642.91,2615890.29,2615890.29,2382642.65,2382642.65,2382642.65,2382642.65,8113401.93,6440754.92,7928805.50,7860882.72,7309508.49,7309508.49,7309508.49,13583527.23,10344461.85,0.0
44,其他非流动资产,7721790.66,1838204.20,1838204.20,1838204.20,1838204.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,非流动资产合计,1734960689.13,1791131486.24,1821497782.98,1858288789.74,1880036260.40,1993469599.20,2040595842.60,2076339868.37,2117469700.92,2716489138.84,2750544441.28,2946619216.34,2938358732.49,3044550009.50,2997262414.98,3103057709.01,3117351996.56,2889396477.43,3076994579.14,2571595749.07,2574269067.30,2452465218.24,2452740308.04,2474293917.91,2439952926.49,2314931282.59,2025876803.95,1992418875.07,2004134137.63,1768609590.52,1732513193.24,1710167368.12,1639347975.73,1796473943.88,1665549037.31,1641467480.36,1545152273.95,1484630184.93,1507539280.97,1534535057.85,1557545652.81,1587055415.33,1606283594.26,1632475376.95,1319090295.02,1340632913.85,1238317369.45,1268220659.82,1304641171.26,1293672150.35,0.0
46,资产总计,2507794048.52,2457868513.52,3037910975.75,3119105548.09,3847169564.86,3301721021.18,3303474114.83,3319199857.36,3313784111.66,3970786190.04,4031321165.10,4037059360.54,3971085541.12,4138286976.37,4135420020.76,4188241438.46,4214399721.98,4269431790.03,4335183769.64,3589163494.83,3494668634.14,3408865849.50,3661351171.65,3495445612.43,3544561255.56,3350433018.73,3687818885.12,3261315474.65,3312819551.74,3258308922.49,3229021527.95,3416721137.88,3357318391.48,3827847643.93,2615208725.72,2598124211.68,2631778797.90,2571077031.85,2625508828.31,2138729186.74,2139608951.37,2053092145.76,2115156896.91,2100800597.74,1730316001.95,1786321561.11,1631134711.53,1721169281.12,2128767782.10,1964425134.40,0.0
47,流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
