,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20121231,20111231,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
33,固定资产净额,757217936.84,0,830406532.59,0,871669582.71,846125694.37,869218626.01,877891858.42,877172854.60,906848720.94,840003752.17,879290726.25,878181882.05,811332673.97,829221097.00,845460177.68,865889943.47,809748946.44,562386930.48,565472273.27,518262444.74,524629542.68,451585496.90,0,421039249.07,408338578.78,372652956.66,203970474.75,169378483.67,0.0
34,固定资产清理,5314.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,157529973.80,158082645.02,159737635.26,160925974.50,161182089.41,162208267.15,163256237.86,164416760.85,165552870.60,166244942.58,167249056.26,167506579.97,168643293.07,147799968.41,148481737.20,149370284.94,150365455.75,151296586.05,152302631.43,153310303.29,154120545.14,154944872.54,61534203.78,0,62536318.36,64110474.79,65631519.64,66527259.45,50085009.80,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.0
41,商誉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.0
42,长期待摊费用,520248.66,780372.24,1040495.82,1300619.40,1560742.98,1820866.56,2080990.14,2420857.96,2715157.62,3009457.28,3303756.94,3598056.60,3894893.36,4205896.54,4535085.11,5459560.92,5216246.29,5200878.41,5660167.11,6119455.81,6578744.51,7040366.55,7482836.16,0,8312104.53,9198418.65,986525.33,971318.72,1250273.56,0.0
43,递延所得税资产,31210011.61,29293890.91,29480391.43,31277880.86,31494189.42,32337035.51,32116562.37,33919888.24,34183021.79,33945295.76,33878534.99,32260484.13,32260484.13,29241864.23,27573099.56,26761241.62,26838577.98,26837151.00,25960817.18,26167031.05,26055111.62,22173185.83,19093958.95,0,18612481.25,19239778.58,22748292.51,19871105.89,9509860.00,0.0
44,其他非流动资产,0,0,0,0,0.00,19936707.18,19936707.18,19936707.18,19936707.18,0,21213249.24,0,0,0,0,80000000.00,80000000.00,80000000.00,80000000.00,80000000.00,80000000.00,0,0,0,0,0,0,0.00,0.00,0.0
45,非流动资产合计,1057807506.83,1120068775.50,1133673547.24,1157760484.96,1207480585.74,1237832902.32,1245431220.12,1242921315.58,1260089354.98,1274690985.34,1294694373.77,1292243482.33,1292622105.52,1244290411.47,1191758411.54,1301545003.75,1315117033.93,1298352635.37,1269831960.02,1269746533.26,1215420022.39,1115434671.07,941227633.10,0,922175950.20,861553637.47,650080586.75,374360428.61,292773566.32,0.0
46,资产总计,3852007480.79,3724307688.53,3551225349.65,3348189569.77,3346418994.41,3509766802.13,3377054025.05,3275942252.29,3229236430.18,3303360281.04,3286090111.91,3303789729.34,3391257753.87,3356212950.56,3160903926.50,3022454492.61,2976531101.53,3019724983.30,3014730435.18,2994782221.79,3066492810.87,2936866137.72,2087723694.21,2036172532.88,2015687066.69,1907785246.54,1671708436.52,1349181073.88,1336048236.32,0.0
47,流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,短期借款,0,0,0,0,0.00,45000000.00,45000000.00,35000000.00,30000000.00,35000000.00,35000000.00,5000000.00,105000000.00,125367374.40,129575595.95,129497418.90,129251719.60,173795000.00,194000000.00,234000000.00,210000000.00,90000000.00,70000000.00,0,70000000.00,55000000.00,139000000.00,10000000.00,0.00,0.0
49,交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.0
50,应付票据及应付账款,927780558.51,817575602.85,787928717.90,651241928.44,667131635.36,834333944.49,778199834.77,639172122.85,701549037.02,0,722542750.07,653343610.17,672391229.18,0,606141874.04,532063286.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,应付票据,317106795.68,347996621.64,303432452.21,0,222633163.02,0,313482584.57,222825050.60,236336918.85,246159096.93,257381749.46,206746403.44,195840191.90,182712191.70,152219389.62,133283516.96,134311233.24,146799322.78,133107228.15,98073917.41,116916829.13,98301258.17,94126487.85,0,40548934.07,62534309.30,5000000.00,0.00,0.00,0.0
52,应付账款,610673762.83,469578981.21,484496265.69,0,444498472.34,0,464717250.20,416347072.25,465212118.17,499078832.30,465161000.61,446597206.73,476551037.28,451459131.66,453922484.42,398779769.18,424259137.63,395847398.72,401070679.36,366694194.75,375411706.04,380273283.46,289346962.44,0,273847484.58,277057779.69,255102557.30,156970193.41,117307208.24,0.0
53,预收款项,627023266.35,681555610.83,564274556.45,519340048.64,485160289.05,471849298.44,440217542.81,483434635.09,363624155.54,426728704.28,470312953.32,517138918.13,482894051.55,525711974.08,443535069.58,424971475.39,367202927.65,414331859.85,431540329.36,414320241.73,425759075.25,419913141.62,295143330.45,0,341390921.65,267018946.07,334661489.31,418978689.37,548738533.47,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.0
55,应付职工薪酬,7513827.57,1413082.53,2606356.17,1525286.09,6949897.78,1443874.35,2704564.38,5843404.01,7032287.75,8299463.04,8177177.30,8883472.13,12901317.22,5286174.75,5779676.73,4922133.33,5607745.83,5992190.74,5166513.14,4835321.03,14314072.46,5121332.80,2417853.88,0,8186570.51,6745566.49,15479179.74,14181489.44,8825394.27,0.0
56,应交税费,47710314.61,25686774.27,13680538.37,20333710.25,25010507.82,16834093.12,16905760.90,10591593.93,23347779.23,16672289.04,17887460.56,17101049.17,26798212.34,14432770.23,12219814.18,17961753.93,19300941.06,11608471.29,11957866.09,17364202.64,23704330.65,26905618.73,18021885.92,0,-10262361.73,-7842199.02,3227034.65,8707859.11,-861130.85,0.0
57,其他应付款(合计),101510059.26,113365520.36,110721232.14,97347265.82,97845123.20,104891282.74,99577415.46,92200838.64,93700388.04,0,92503522.36,91399195.44,94669975.69,0,102688869.46,102355603.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
58,应付利息,0,0,0,0.00,0.00,0,0,0,39875.00,0,0.00,0.00,95837.50,0,0,0,95837.50,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.0
59,应付股利,75219026.11,75219026.11,75219026.11,75219026.11,75219026.11,75219026.11,75219026.11,75219026.11,75219026.11,75219026.11,75219026.11,75219026.11,75219026.11,75219026.11,77763746.11,78787996.11,78787996.11,78787996.11,78787996.11,78787996.11,78787996.11,78787996.11,0,0,0,0,0,0.00,64691400.00,0.0
60,其他应付款,26291033.15,0,35502206.03,0,22626097.09,104891282.74,24358389.35,16981812.53,18441486.93,22687977.68,17284496.25,16180169.33,19355112.08,20656948.07,24925123.35,23567607.37,24850525.95,35084172.12,33867642.69,30205431.21,29542989.92,37746560.63,16503733.37,0,15802199.07,13707027.75,6863377.60,8291157.41,10161595.05,0.0
61,预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,6279075.00,0,0,0,0,0,0,0,0,0,0.00,60000000.00,60000000.00,0,0,0,0,0,0,19000000.00,84000000.00,129000000.00,160000000.00,0,160000000.00,10000000.00,0,0.00,0.00,0.0
65,其他流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000.00,2000000.00,5680000.00,0.0
66,流动负债合计,1717817101.30,1639596590.84,1479211401.03,1289788239.24,1282097453.21,1474352493.14,1382605118.32,1266242594.52,1219253647.58,1329845389.38,1346423863.61,1352866245.04,1454654785.98,1400845591.00,1299940899.94,1211771671.17,1183668064.57,1262246411.61,1289498254.90,1263281304.88,1358436999.56,1266049191.52,945560253.91,0,899513748.15,684221430.28,761333638.60,619129388.74,754543000.18,0.0
67,非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,长期借款,50139537.50,58315959.20,59616951.50,60538450.48,62440348.25,65362191.32,64871378.03,64538607.80,67583763.20,69085893.66,71419735.21,77552039.00,78197818.25,136055960.00,136837261.25,89689447.50,89224890.00,111228056.68,88669889.94,89256680.34,89128828.86,79936657.44,58376697.86,0,45000000.00,205000000.00,0,0.00,120000000.00,0.0
69,应付债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.0
70,租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
72,长期应付款(合计),0,0,0,0,0,0,0,0,0,0,0,0,0,0,66515608.44,70830567.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
73,长期应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.0
74,专项应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,62708128.80,66515608.44,70830567.72,71030239.72,70477775.10,78400000.00,78400000.00,78400000.00,78400000.00,0,0,0,0,0,0.00,0.00,0.0
75,预计非流动负债,13262974.28,15274928.00,15115264.69,16305025.96,18363803.62,22326356.02,24761369.53,32049757.01,36823143.79,31108976.71,31369237.06,34154188.93,34343920.14,28478572.42,26032639.78,26935519.61,27648968.52,26426239.46,26200818.25,25829438.52,24796029.23,18885734.57,19046578.03,0,27741124.40,50061465.07,77410297.17,56339177.63,27453464.59,0.0
76,递延所得税负债,4986220.23,4902137.07,5302129.76,5175781.46,4362478.08,4717546.93,4679953.40,5358253.92,5358253.92,6374606.12,6374606.12,6596559.13,6596559.13,6843901.41,130431.85,155930.21,155930.21,167262.81,167262.81,167262.81,167262.81,74083.64,0,0,0,0,0,0.00,0.00,0.0
77,长期递延收益,57274252.63,60165724.48,63070464.69,65895020.90,68719577.11,72643556.70,75394971.47,77996386.24,80703918.51,78455289.21,80606406.24,83700923.23,86185440.24,27537785.55,16640375.55,18089994.56,18492104.56,15201799.60,15730655.68,16118320.68,14669837.94,0,0,0,0,0,0,0,0,0.0
