,code,name,mbrg,nprg,nav,targ,epsg,seg
1541,002423,中粮资本,-18.7036,-43.8717,,,-48.3636,
1542,600366,宁波韵升,94.5491,-44.4943,11.8355,13.0816,-50.4647,9.495
1543,601186,中国铁建,34.3383,-44.5487,5.6598,23.8422,-46.6667,5.1602
1544,000739,普洛药业,13.2147,-45.0437,2.0001,4.4306,-40.0,2.4535
1545,000913,钱江摩托,9.615,-45.0818,9.9985,26.233,-25.0,7.4142
1546,300038,数知科技,-1.9514,-45.6198,372.4992,210.6374,-66.6667,369.3787
1547,600007,中国国贸,4.2464,-45.6679,0.9322,6.9511,-45.8333,0.9309999999999999
1548,600665,天地源,-22.2233,-45.8493,3.3636,24.8052,-31.7757,4.5604
1549,000096,广聚能源,72.6385,-46.0899,3.9521,5.9223,-46.2488,4.0717
1550,600250,南纺股份,8.5951,-46.2872,33.2856,17.1569,-43.1616,15.9729
1551,000503,国新健康,-35.208,-46.4387,-1.3227,-4.4036,-39.1304,-1.2594
1552,000925,众合科技,-2.3099,-46.8488,7.9206,5.7637,-46.875,9.1066
1553,002033,丽江股份,8.7596,-47.0454,34.2105,-2.8321,-66.6667,45.3515
1554,600760,中航沈飞,35.7911,-47.0654,5.525,15.2841,-47.08,5.525
1555,000589,贵州轮胎,33.255,-47.5502,14.2626,17.793,-46.3415,14.3679
1556,000605,渤海股份,-1.3221,-47.6419,1.3791,3.7891,-44.6154,1.5126
1557,300042,朗科科技,-14.2499,-47.7054,351.3362,237.6053,-61.6667,351.3362
1558,000686,东北证券,,-47.872,17.4847,2.6161,-47.4747,17.5041
1559,600177,雅戈尔,-6.7525,-48.2287,3.4128,27.4609,-52.1706,2.5746
1560,002239,奥特佳,4.243,-48.3916,-5.297000000000001,-2.166,-39.8924,1.8088
1561,000635,英力特,30.6961,-48.4697,-5.9544,-3.5206,-14.6226,4.1277
1562,000637,茂化实华,39.2846,-48.4942,13.1356,-45.5438,-54.1667,13.1356
1563,000835,长城动漫,22.7265,-48.9994,6.4759,-9.7202,-49.6533,6.4758
1564,600021,上海电力,51.2613,-49.1353,6.8375,1.9058,-99.2372,0.0694
1565,600596,新安股份,9.4959,-49.2574,1.8463,11.2024,-78.1928,2.142
1566,000677,恒天海龙,54.0579,-49.2768,4.0159,9.732000000000001,-44.7,4.3819
1567,002256,兆新股份,21.9896,-49.9108,30.1938,31.9557,-43.4783,8.4173
1568,601099,太平洋,,-50.4553,13.3181,-9.5504,-50.5,13.3181
1569,600483,福能股份,10.7958,-52.5771,0.0183,9.8023,-62.748999999999995,-0.0375
1570,000950,重药控股,-18.4827,-52.7159,4.4319,-5.9545,-74.5763,4.5454
1571,600239,云南城投,-48.2611,-52.7492,11.5314,20.5499,-59.0987,3.1476
1572,300023,宝德股份,-41.106,-53.0284,418.51300000000003,205.8859,-76.6061,418.51300000000003
